id,Time,Words
1,600,2144
2,610,1064
3,876,2631
4,471,1250

5,97,250
6,218,544

7,45,117

8,515,2631

9,1039,2631

10,54,193

11,523,1947

12,16,78

13,128,539

14,188,702

15,47,177

16,132,472

17,340,1474

18,56,238

19,52,245

20,104,483

21,44,210

22,168,849

23,548,5692

24,215,1929

25,2820,11112

26,1110,5755

27,160,568

28,110,339

30,199,715

31,1275,2533

32,2,8

33,5,20

34,3,15

35,11,50

36,22,85

37,31,115

38,17,67

39,59,239

40,27,95

41,570,4500

42,600,4511